ASV_ID,kingdom,phylum,class,order,family,genus,species,domain,species_raw,best_id,species_lab,occ_query_name,occ_n_records,occ_n_gbif,occ_n_obis,occ_min_distance_km,occ_nearest_lat,occ_nearest_lon,occ_in_study_area,occ_in_buffer,occ_assessment,occ_congeners_in_region
ASV74,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 6,,,,,,,,,,,
ASV75,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 11,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,
ASV76,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus quadricornis,Eukaryota,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus quadricornis 3,Myoxocephalus quadricornis,2112,1304,808,288.88861603725195,,,False,True,PLAUSIBLE,
ASV77,Eukaryota,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Phoxinus,Phoxinus,Eukaryota,,Phoxinus,Phoxinus 7,,,,,,,,,,,
ASV78,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Ctenolabrus,Ctenolabrus rupestris,Eukaryota,Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus rupestris 5,Ctenolabrus rupestris,688,113,575,0,,,True,True,CONFIRMED,
ASV79,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,Eukaryota,Clupea harengus,Clupea harengus,Clupea harengus 12,Clupea harengus,3402,88,3314,0,,,True,True,CONFIRMED,
ASV80,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Zeugopterus,Zeugopterus punctatus,Eukaryota,Zeugopterus punctatus,Zeugopterus punctatus,Zeugopterus punctatus 2,Zeugopterus punctatus,29,20,9,0,,,True,True,CONFIRMED,
ASV81,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Gobiidae,Gobiidae,Eukaryota,,Gobiidae,Gobiidae 1,,,,,,,,,,,
ASV82,Eukaryota,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus abyssinicus,Eukaryota,Turdus abyssinicus,Turdus abyssinicus,Turdus abyssinicus 1,Turdus abyssinicus,28166,28166,0,6494.575079152401,9.080378,38.721678,False,False,DOUBTFUL,Turdus albicollis; Turdus albocinctus; Turdus amaurochalinus; Turdus anthracinus; Turdus ardosiaceus; Turdus assimilis; Turdus atriceps; Turdus atrogularis; Turdus atrogularis x eunomus/naumanni; Turdus aurantius; Turdus badius; Turdus bewsheri; Turdus borbonicus; Turdus boulboul; Turdus bresciensis; Turdus capensis; Turdus cardis; Turdus caudatus; Turdus celaenops; Turdus chiguanco; Turdus chrysolaus; Turdus cochinchinensis; Turdus confinis; Turdus daguae; Turdus debilis; Turdus deningeri; Turdus dissimilis; Turdus eunomus; Turdus falcklandii; Turdus feae; Turdus flavipes; Turdus flavirostris; Turdus fulviventris; Turdus fumigatus; Turdus fuscater; Turdus gigantodes; Turdus ginginianus; Turdus grayi; Turdus gularis; Turdus haplochrous; Turdus harmonicus; Turdus hauxwelli; Turdus helleri; Turdus hortulorum; Turdus ignobilis; Turdus iliacus; Turdus infuscatus; Turdus inquietus; Turdus jamaicensis; Turdus kessleri; Turdus lawrencii; Turdus leschenaulti; Turdus leucomelas; Turdus leucophrys; Turdus leucops; Turdus leucopygus; Turdus lherminieri; Turdus libonyana; Turdus ludoviciae; Turdus maculirostris; Turdus mandarinus; Turdus maranonicus; Turdus maximus; Turdus menachensis; Turdus merula; Turdus migratorius; Turdus morio; Turdus mupinensis; Turdus murinus; Turdus naumanni; Turdus niger; Turdus nigrescens; Turdus nigriceps; Turdus nitens; Turdus nudigenis; Turdus obscurus; Turdus obsoletus; Turdus olivaceofuscus; Turdus olivaceus; Turdus olivater; Turdus orientalis; Turdus orpheus; Turdus pallidus; Turdus pectoralis; Turdus pelios; Turdus phaeus; Turdus philomelos; Turdus pilaris; Turdus plebejus; Turdus plumbeus; Turdus poliocephalus; Turdus ravidus; Turdus reevei; Turdus roehli; Turdus rubripes; Turdus rubrocanus; Turdus ruficollis; Turdus rufitorques; Turdus rufiventris; Turdus rufopalliatus; Turdus sanchezorum; Turdus serranus; Turdus simillimus; Turdus smithi; Turdus spec; Turdus strigatus; Turdus subalaris; Turdus swalesi; Turdus tephronotus; Turdus torquatus; Turdus triostegus; Turdus unicolor; Turdus variegatus; Turdus viscivorus; Turdus vociferans; Turdus xanthorhynchus; Turdus zeylonicus; Turdus zeylonus
ASV83,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,Lipophrys,Lipophrys pholis,Eukaryota,Lipophrys pholis,Lipophrys pholis,Lipophrys pholis 1,Lipophrys pholis,21,21,0,0,,,True,True,CONFIRMED,
