"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV332","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiusculus","Gobiusculus flavescens","Eukaryota","Gobiusculus flavescens","Gobiusculus flavescens","Gobiusculus flavescens 11"
"ASV335","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea pallasii","Eukaryota","Clupea pallasii","Clupea pallasii","Clupea pallasii 18"
"ASV336","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo heidelbergensis","Eukaryota","Homo heidelbergensis","Homo heidelbergensis","Homo heidelbergensis"
"ASV338","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 5"
"ASV339","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus curilus","Eukaryota","Salvelinus curilus","Salvelinus curilus","Salvelinus curilus 6"
"ASV340","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis","Eukaryota",NA,"Pholis","Pholis 3"
"ASV346","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 18"
"ASV347","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 19"
"ASV351","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 6"
"ASV352","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 7"
"ASV353","Eukaryota","Chordata","Actinopteri","Gadiformes","Lotidae","Molva","Molva molva","Eukaryota","Molva molva","Molva molva","Molva molva 8"
"ASV355","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","Eukaryota","Mergus merganser","Mergus merganser","Mergus merganser"
"ASV358","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo labrax","Eukaryota","Salmo labrax","Salmo labrax","Salmo labrax 2"
